driver-pairs,distance
"(1, '40', '4')",38.808521716281575
"(1, '40', '20')",47.880634894000515
"(1, '40', '11')",32.533439030987175
"(1, '40', '14')",38.94430100995967
"(1, '40', '81')",40.90594546249626
"(1, '40', '24')",43.02144583165969
"(1, '40', '77')",35.998548874387005
"(1, '40', '27')",38.233452230007146
"(1, '40', '55')",39.83402094835048
"(1, '40', '23')",42.53663191022993
"(1, '40', '1')",42.04421455553635
"(1, '40', '18')",47.02653522679284
"(1, '40', '63')",38.56622104263234
"(1, '40', '2')",41.58666465903424
"(1, '40', '31')",40.35393506161159
"(1, '40', '44')",40.89102349592182
"(1, '40', '16')",43.11973393362363
"(1, '40', '10')",39.63687546004996
"(1, '4', '40')",40.13767912950729
"(1, '4', '20')",50.34757557588801
"(1, '4', '11')",31.775546060177994
"(1, '4', '14')",38.376780525291906
"(1, '4', '81')",41.101872781843795
"(1, '4', '24')",41.001802637930965
"(1, '4', '77')",38.09687175113364
"(1, '4', '27')",37.87268422155857
"(1, '4', '55')",39.530997556785536
"(1, '4', '23')",39.774696122172315
"(1, '4', '1')",39.839400751907036
"(1, '4', '18')",46.025495161399796
"(1, '4', '63')",39.955798864637174
"(1, '4', '2')",41.71404914542414
"(1, '4', '31')",42.23160192444992
"(1, '4', '44')",41.28514445725479
"(1, '4', '16')",41.62909498275758
"(1, '4', '10')",36.56448575654741
"(1, '20', '40')",38.171666723362385
"(1, '20', '4')",36.603817305437175
"(1, '20', '11')",31.08065951160726
"(1, '20', '14')",36.45948805890361
"(1, '20', '81')",37.696878266684216
"(1, '20', '24')",42.028709256176235
"(1, '20', '77')",33.72663688986889
"(1, '20', '27')",35.543942330354085
"(1, '20', '55')",37.96635462410486
"(1, '20', '23')",42.969897288917785
"(1, '20', '1')",41.157850893190144
"(1, '20', '18')",45.95751507438741
"(1, '20', '63')",37.5776228076673
"(1, '20', '2')",40.221503682678595
"(1, '20', '31')",40.83934409840748
"(1, '20', '44')",39.21918422997173
"(1, '20', '16')",48.759692405667536
"(1, '20', '10')",35.37794729921748
"(1, '11', '40')",39.57821154048338
"(1, '11', '4')",37.566578659946266
"(1, '11', '20')",39.44747851851997
"(1, '11', '14')",38.501700832219896
"(1, '11', '81')",41.38517729613097
"(1, '11', '24')",41.550831693648576
"(1, '11', '77')",36.30170465615961
"(1, '11', '27')",38.84406245072827
"(1, '11', '55')",38.81951345139611
"(1, '11', '23')",39.755195267062575
"(1, '11', '1')",40.09433285221666
"(1, '11', '18')",49.82741558282691
"(1, '11', '63')",40.046174093018855
"(1, '11', '2')",40.63364656729558
"(1, '11', '31')",40.20866693651187
"(1, '11', '44')",43.5659847826331
"(1, '11', '16')",42.262236505167294
"(1, '11', '10')",36.51389706459678
"(1, '14', '40')",39.19022937345339
"(1, '14', '4')",38.7886639943519
"(1, '14', '20')",48.0047961838484
