,Cluster,driver_type,driver
0,0,Driver 1,63
1,1,Driver 1,1
2,2,Driver 1,4
3,3,Driver 1,16
4,4,Driver 1,40
5,5,Driver 1,27
6,6,Driver 1,31
7,7,Driver 1,77
8,8,Driver 1,10
9,0,Driver 2,44
10,1,Driver 2,14
11,2,Driver 2,11
12,3,Driver 2,55
13,4,Driver 2,18
14,5,Driver 2,24
15,6,Driver 2,81
16,7,Driver 2,20
17,8,Driver 2,2
