driver-pairs,distance
"(1, '20', '11')",inf
"(1, '20', '14')",inf
"(1, '20', '81')",inf
"(1, '20', '24')",inf
"(1, '20', '21')",52.902269476523664
"(1, '20', '77')",inf
"(1, '20', '27')",inf
"(1, '20', '16')",inf
"(1, '20', '55')",inf
"(1, '20', '23')",inf
"(1, '20', '1')",inf
"(1, '20', '18')",inf
"(1, '20', '63')",inf
"(1, '20', '2')",inf
"(1, '20', '31')",inf
"(1, '20', '22')",inf
"(1, '20', '44')",inf
"(1, '20', '4')",inf
"(1, '20', '10')",inf
"(1, '11', '20')",inf
"(1, '11', '14')",41.976473636313905
"(1, '11', '81')",42.66714467183032
"(1, '11', '24')",47.30739837709446
"(1, '11', '21')",inf
"(1, '11', '77')",37.76738539201417
"(1, '11', '27')",38.36137598625861
"(1, '11', '16')",50.08732230094621
"(1, '11', '55')",39.824825331011176
"(1, '11', '23')",42.58897696013963
"(1, '11', '1')",45.4585483400354
"(1, '11', '18')",43.568520588090514
"(1, '11', '63')",39.50446947208767
"(1, '11', '2')",56.244529863899224
"(1, '11', '31')",46.5227469375574
"(1, '11', '22')",48.15916385306732
"(1, '11', '44')",38.94698086802917
"(1, '11', '4')",42.53092881786647
"(1, '11', '10')",48.62809282963242
"(1, '14', '20')",inf
"(1, '14', '11')",52.449062183653524
"(1, '14', '81')",54.44157756420173
"(1, '14', '24')",57.285243714488715
"(1, '14', '21')",inf
"(1, '14', '77')",48.289021675819725
"(1, '14', '27')",50.18262744305926
"(1, '14', '16')",55.898699177049444
"(1, '14', '55')",48.65254798022219
"(1, '14', '23')",52.94073121293937
"(1, '14', '1')",53.67738627329949
"(1, '14', '18')",53.70200848031351
"(1, '14', '63')",50.01215301558564
"(1, '14', '2')",63.61082546865791
"(1, '14', '31')",54.69848835701244
"(1, '14', '22')",57.588328920104296
"(1, '14', '44')",46.9333463889313
"(1, '14', '4')",49.539721175426756
"(1, '14', '10')",55.24977654944543
"(1, '81', '20')",inf
"(1, '81', '11')",57.51667309459398
"(1, '81', '14')",58.216122860462335
"(1, '81', '24')",60.48929221780191
"(1, '81', '21')",inf
"(1, '81', '77')",55.69424527886414
"(1, '81', '27')",56.28979609314241
"(1, '81', '16')",59.33344631067303
"(1, '81', '55')",56.72704595575635
"(1, '81', '23')",57.9414496979497
"(1, '81', '1')",57.73439580938519
"(1, '81', '18')",59.69221175928537
"(1, '81', '63')",57.43797296908642
"(1, '81', '2')",65.27014718808701
"(1, '81', '31')",59.66383019706841
"(1, '81', '22')",61.170451039046554
"(1, '81', '44')",54.62997413861733
