,Cluster,driver_type,driver
0,0,Driver 1,4
1,1,Driver 1,1
2,2,Driver 1,31
3,3,Driver 1,27
4,4,Driver 1,77
5,5,Driver 1,63
6,6,Driver 1,44
7,7,Driver 1,14
8,8,Driver 1,16
9,9,Driver 1,11
10,0,Driver 2,23
11,1,Driver 2,10
12,2,Driver 2,24
13,3,Driver 2,81
14,4,Driver 2,22
15,5,Driver 2,55
16,6,Driver 2,21
17,7,Driver 2,20
18,8,Driver 2,18
19,9,Driver 2,2
