,Cluster,driver_type,driver
0,0,Driver 1,63
1,1,Driver 1,1
2,2,Driver 1,23
3,3,Driver 1,16
4,4,Driver 1,31
5,5,Driver 1,40
6,6,Driver 1,27
7,7,Driver 1,81
8,8,Driver 1,18
9,0,Driver 2,11
10,1,Driver 2,14
11,2,Driver 2,44
12,3,Driver 2,4
13,4,Driver 2,24
14,5,Driver 2,77
15,6,Driver 2,55
16,7,Driver 2,10
17,8,Driver 2,20
