Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Epochs,Learning Rate,Number of layers,Number of neurons,Macro Average
2022-05-26 14:28:09,1.0min,0e42bea7029947d1901ae574b61a751c,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,30,0.1,1,10,0.4137415059837018
2022-05-26 14:04:48,26.9s,68b781d41d55487a81cd0b87333cac4b,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,10,0.001,1,30,0.40248489145890876
2022-05-26 15:54:48,58.4s,1b8e27313083484daef8fc9817556bae,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,10,0.001,2,50,0.3884813612401419
2022-05-26 14:02:40,24.9s,eac71a7db0ea44c18daa1d6dbc73c8cd,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,10,0.1,1,10,0.37643005886146963
2022-05-26 15:31:49,2.5min,2aaad93e84a7481c88d8cecc5a72b5ad,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,40,0.1,1,69,0.3753533694115599
2022-05-26 14:50:29,1.5min,55e199101a0a43b6a7715ea13aea3107,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,40,0.1,1,10,0.36405006862156436
2022-05-26 14:01:22,26.0s,6aa43a52405c4fe186c41b95c022a209,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,10,0.001,1,20,0.36220669689025026
2022-05-26 14:12:56,47.1s,5e59adc9c2094d7db3573631928f374c,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,20,0.001,1,10,0.3607366967418119
2022-05-26 17:00:17,2.8min,2591ba08763044d2afe35f87c03fb6e0,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,30,0.0001,2,60,0.3510214575937588
2022-05-26 14:09:07,47.4s,9f75bfc2111a48d0a8a5da81e9b61776,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,20,0.1,1,20,0.3465262847603067
2022-05-26 14:44:30,1.6min,2226b37b90af44579ec4df3fe12c3a78,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,40,0.1,1,20,0.32878021913733785
2022-05-26 14:17:03,48.6s,eaae8cf7b57f4c62b46036b0ae8a808f,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,20,1,1,30,0.3037391011271782
2022-05-26 16:29:31,2.3min,0b72f22c7391411fa3030cca102c9992,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,20,0.0001,2,69,0.2969997372087879
2022-05-26 14:03:29,24.9s,1db51750fdf240498fd3abc99b457168,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,10,1,1,10,0.29354589467902165
2022-05-26 16:23:05,1.9min,075d5dff43ef4fe9b07a4d97435a5813,,LOCAL,/opt/anaconda3/envs/ML/lib/python3.7/site-packages/ipykernel_launcher.py,flo,FINISHED,20,0.0001,2,60,0.29317356537940953
