from,dest,path,coordinates
"Westerly, RI: Westerly State","Point Baker, AK: Point Baker Airport","['Westerly, RI: Westerly State', 'Block Island, RI: Block Island State', 'East Farmingdale, NY: Republic', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'Ketchikan, AK: Ketchikan International', 'Coffman Cove, AK: Coffman Cove Seaplane Base', 'Point Baker, AK: Point Baker Airport']","[('41.3496017456', '-71.8033981323'), ('41.1680984497', '-71.577796936'), ('40.7288017273', '-73.4133987427'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('55.35559845', '-131.7140045'), ('56.003200531', '-132.841995239'), ('56.3518981934', '-133.623001099')]"
"Westerly, RI: Westerly State","Skwentna, AK: Skwentna Airport","['Westerly, RI: Westerly State', 'Block Island, RI: Block Island State', 'East Farmingdale, NY: Republic', 'Indianapolis, IN: Indianapolis International', 'Fairbanks, AK: Fairbanks International', 'McGrath, AK: McGrath Airport', 'Anchorage, AK: Merrill Field', 'Skwentna, AK: Skwentna Airport']","[('41.3496017456', '-71.8033981323'), ('41.1680984497', '-71.577796936'), ('40.7288017273', '-73.4133987427'), ('39.7173', '-86.294403'), ('64.81510162', '-147.8560028'), ('62.95289993', '-155.6060028'), ('61.2135009765625', '-149.843994140625'), ('61.9653015137', '-151.190994263')]"
"Westerly, RI: Westerly State","Hydaburg, AK: Hydaburg Seaplane Base","['Westerly, RI: Westerly State', 'Block Island, RI: Block Island State', 'East Farmingdale, NY: Republic', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'Ketchikan, AK: Ketchikan International', 'Craig, AK: Craig Seaplane Base', 'Hydaburg, AK: Hydaburg Seaplane Base']","[('41.3496017456', '-71.8033981323'), ('41.1680984497', '-71.577796936'), ('40.7288017273', '-73.4133987427'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('55.35559845', '-131.7140045'), ('55.47880172729492', '-133.1479949951172'), ('55.206298828125', '-132.8280029296875')]"
"Annapolis, MD: Lee","Point Baker, AK: Point Baker Airport","['Annapolis, MD: Lee', 'Waterbury, CT: Waterbury Oxford', 'Teterboro, NJ: Teterboro Airport', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'Ketchikan, AK: Ketchikan International', 'Coffman Cove, AK: Coffman Cove Seaplane Base', 'Point Baker, AK: Point Baker Airport']","[('38.942902', '-76.568398'), ('41.47859954834', '-73.135200500488'), ('40.85010147089999', '-74.060798645'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('55.35559845', '-131.7140045'), ('56.003200531', '-132.841995239'), ('56.3518981934', '-133.623001099')]"
"Annapolis, MD: Lee","Skwentna, AK: Skwentna Airport","['Annapolis, MD: Lee', 'Waterbury, CT: Waterbury Oxford', 'Teterboro, NJ: Teterboro Airport', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'McGrath, AK: McGrath Airport', 'Anchorage, AK: Merrill Field', 'Skwentna, AK: Skwentna Airport']","[('38.942902', '-76.568398'), ('41.47859954834', '-73.135200500488'), ('40.85010147089999', '-74.060798645'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('62.95289993', '-155.6060028'), ('61.2135009765625', '-149.843994140625'), ('61.9653015137', '-151.190994263')]"
"Annapolis, MD: Lee","Hydaburg, AK: Hydaburg Seaplane Base","['Annapolis, MD: Lee', 'Waterbury, CT: Waterbury Oxford', 'Teterboro, NJ: Teterboro Airport', 'Burbank, CA: Bob Hope', 'Anchorage, AK: Ted Stevens Anchorage International', 'Ketchikan, AK: Ketchikan International', 'Craig, AK: Craig Seaplane Base', 'Hydaburg, AK: Hydaburg Seaplane Base']","[('38.942902', '-76.568398'), ('41.47859954834', '-73.135200500488'), ('40.85010147089999', '-74.060798645'), ('34.197703', '-118.356378'), ('61.1744', '-149.996002'), ('55.35559845', '-131.7140045'), ('55.47880172729492', '-133.1479949951172'), ('55.206298828125', '-132.8280029296875')]"
"Jacksonville, IL: Jacksonville Municipal","Skwentna, AK: Skwentna Airport","['Jacksonville, IL: Jacksonville Municipal', 'Marshfield, WI: Marshfield Municipal', 'Bloomington/Normal, IL: Central Illinois Regional', 'Atlanta, GA: Hartsfield-Jackson Atlanta International', 'Anchorage, AK: Ted Stevens Anchorage International', 'McGrath, AK: McGrath Airport', 'Anchorage, AK: Merrill Field', 'Skwentna, AK: Skwentna Airport']","[('39.774600982666016', '-90.23829650878906'), ('44.6369018555', '-90.18930053710001'), ('40.47710037', '-88.91590118'), ('33.6367', '-84.428101'), ('61.1744', '-149.996002'), ('62.95289993', '-155.6060028'), ('61.2135009765625', '-149.843994140625'), ('61.9653015137', '-151.190994263')]"
"Hydaburg, AK: Hydaburg Seaplane Base","Marshfield, WI: Marshfield Municipal","['Hydaburg, AK: Hydaburg Seaplane Base', 'Hollis, AK: Hollis Seaplane Base', 'Ketchikan, AK: Ketchikan International', 'Seattle, WA: Seattle/Tacoma International', 'Atlanta, GA: Hartsfield-Jackson Atlanta International', 'Fort Wayne, IN: Fort Wayne International', 'Jacksonville, IL: Jacksonville Municipal', 'Marshfield, WI: Marshfield Municipal']","[('55.206298828125', '-132.8280029296875'), ('55.4816017151', '-132.645996094'), ('55.35559845', '-131.7140045'), ('47.449001', '-122.308998'), ('33.6367', '-84.428101'), ('40.97850037', '-85.19509888'), ('39.774600982666016', '-90.23829650878906'), ('44.6369018555', '-90.18930053710001')]"
"Hydaburg, AK: Hydaburg Seaplane Base","Glens Falls, NY: Floyd Bennett Memorial","['Hydaburg, AK: Hydaburg Seaplane Base', 'Hollis, AK: Hollis Seaplane Base', 'Ketchikan, AK: Ketchikan International', 'Seattle, WA: Seattle/Tacoma International', 'Fort Lauderdale, FL: Fort Lauderdale-Hollywood International', 'Latrobe, PA: Arnold Palmer Regional', 'Nashua, NH: Boire Field', 'Glens Falls, NY: Floyd Bennett Memorial']","[('55.206298828125', '-132.8280029296875'), ('55.4816017151', '-132.645996094'), ('55.35559845', '-131.7140045'), ('47.449001', '-122.308998'), ('26.072599', '-80.152702'), ('40.27590179', '-79.40480042'), ('42.7817', '-71.514801'), ('43.3412017822', '-73.6102981567')]"
"Point Baker, AK: Point Baker Airport","Marshfield, WI: Marshfield Municipal","['Point Baker, AK: Point Baker Airport', 'Coffman Cove, AK: Coffman Cove Seaplane Base', 'Ketchikan, AK: Ketchikan International', 'Seattle, WA: Seattle/Tacoma International', 'Atlanta, GA: Hartsfield-Jackson Atlanta International', 'Fort Wayne, IN: Fort Wayne International', 'Jacksonville, IL: Jacksonville Municipal', 'Marshfield, WI: Marshfield Municipal']","[('56.3518981934', '-133.623001099'), ('56.003200531', '-132.841995239'), ('55.35559845', '-131.7140045'), ('47.449001', '-122.308998'), ('33.6367', '-84.428101'), ('40.97850037', '-85.19509888'), ('39.774600982666016', '-90.23829650878906'), ('44.6369018555', '-90.18930053710001')]"
"Point Baker, AK: Point Baker Airport","Glens Falls, NY: Floyd Bennett Memorial","['Point Baker, AK: Point Baker Airport', 'Coffman Cove, AK: Coffman Cove Seaplane Base', 'Ketchikan, AK: Ketchikan International', 'Seattle, WA: Seattle/Tacoma International', 'Fort Lauderdale, FL: Fort Lauderdale-Hollywood International', 'Latrobe, PA: Arnold Palmer Regional', 'Nashua, NH: Boire Field', 'Glens Falls, NY: Floyd Bennett Memorial']","[('56.3518981934', '-133.623001099'), ('56.003200531', '-132.841995239'), ('55.35559845', '-131.7140045'), ('47.449001', '-122.308998'), ('26.072599', '-80.152702'), ('40.27590179', '-79.40480042'), ('42.7817', '-71.514801'), ('43.3412017822', '-73.6102981567')]"
