driver-pairs,distance
"(1, '40', '4')",42.33685231864872
"(1, '40', '20')",44.34317010457101
"(1, '40', '11')",35.17220311331867
"(1, '40', '14')",40.68183582381553
"(1, '40', '81')",40.90594546249626
"(1, '40', '24')",40.084927834566635
"(1, '40', '77')",38.14569016997908
"(1, '40', '27')",43.75922548805346
"(1, '40', '55')",42.915167591701994
"(1, '40', '23')",42.53663191022993
"(1, '40', '1')",42.04421455553635
"(1, '40', '18')",47.02653522679284
"(1, '40', '63')",36.29936236158865
"(1, '40', '2')",38.775365203234735
"(1, '40', '31')",40.35393506161159
"(1, '40', '44')",43.3318614774806
"(1, '40', '16')",43.671050547972165
"(1, '40', '10')",42.42840991964568
"(1, '4', '40')",40.13767912950729
"(1, '4', '20')",45.76683807721951
"(1, '4', '11')",34.835588137861485
"(1, '4', '14')",40.5973438576733
"(1, '4', '81')",41.101872781843795
"(1, '4', '24')",37.36891895675229
"(1, '4', '77')",39.87524125686182
"(1, '4', '27')",41.88705366651157
"(1, '4', '55')",43.13501832238277
"(1, '4', '23')",39.774696122172315
"(1, '4', '1')",39.839400751907036
"(1, '4', '18')",46.025495161399796
"(1, '4', '63')",37.50086892343904
"(1, '4', '2')",38.48351732113582
"(1, '4', '31')",42.23160192444992
"(1, '4', '44')",42.86151242604181
"(1, '4', '16')",44.44852800773707
"(1, '4', '10')",40.41304473881295
"(1, '20', '40')",38.171666723362385
"(1, '20', '4')",43.31835377332406
"(1, '20', '11')",32.890279527173426
"(1, '20', '14')",38.046932218556066
"(1, '20', '81')",37.696878266684216
"(1, '20', '24')",38.080729962811986
"(1, '20', '77')",39.17807699947045
"(1, '20', '27')",41.84767042889495
"(1, '20', '55')",40.04743989002445
"(1, '20', '23')",42.969897288917785
"(1, '20', '1')",41.157850893190144
"(1, '20', '18')",45.957515074387416
"(1, '20', '63')",34.641807496790484
"(1, '20', '2')",40.221503682678595
"(1, '20', '31')",40.83934409840748
"(1, '20', '44')",42.04457591019602
"(1, '20', '16')",43.162014079072634
"(1, '20', '10')",39.89751914467504
"(1, '11', '40')",39.57821154048338
"(1, '11', '4')",41.87501556783723
"(1, '11', '20')",43.80141305386009
"(1, '11', '14')",41.147743110735455
"(1, '11', '81')",41.38517729613097
"(1, '11', '24')",39.3382270904199
"(1, '11', '77')",38.696270138625394
"(1, '11', '27')",43.45328288004276
"(1, '11', '55')",42.39906539304777
"(1, '11', '23')",39.755195267062575
"(1, '11', '1')",40.09433285221666
"(1, '11', '18')",48.92695296190498
"(1, '11', '63')",38.48466881043164
"(1, '11', '2')",38.422425433661736
