,Cluster,driver_type,driver
0,0,Driver 1,63
1,1,Driver 1,23
2,2,Driver 1,14
3,3,Driver 1,16
4,4,Driver 1,4
5,5,Driver 1,31
6,6,Driver 1,40
7,7,Driver 1,18
8,8,Driver 1,10
9,0,Driver 2,11
10,1,Driver 2,44
11,2,Driver 2,1
12,3,Driver 2,55
13,4,Driver 2,81
14,5,Driver 2,27
15,6,Driver 2,77
16,7,Driver 2,24
17,8,Driver 2,2
