,Cluster,driver_type,driver
0,0,Driver 1,14
1,1,Driver 1,55
2,2,Driver 1,11
3,3,Driver 1,16
4,4,Driver 1,40
5,5,Driver 1,27
6,6,Driver 1,81
7,7,Driver 1,24
8,8,Driver 1,10
9,0,Driver 2,44
10,1,Driver 2,4
11,2,Driver 2,63
12,3,Driver 2,1
13,4,Driver 2,31
14,5,Driver 2,77
15,6,Driver 2,18
16,7,Driver 2,23
17,8,Driver 2,2
