avg_da,avg_en
0.0,0.0
0.0031269544,0.0006807352
0.0,0.012933969
0.0,0.0
0.013133208,0.0020422055
0.0,0.0006807352
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.48155096,0.30020422
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.3427142,0.011572498
0.0,0.0
0.0,0.0
0.0,0.0
0.22201376,0.17835262
0.0,0.0
0.0,0.0
0.047529705,0.0006807352
0.0025015634,0.027229408
0.0,0.0
0.0,0.0
0.033145715,0.05513955
0.0,0.0
0.0025015634,0.0
0.0,0.0
0.0,0.003403676
0.008130081,0.040163375
0.0,0.0
0.024390243,0.039482642
0.0,0.003403676
0.0,0.0
0.0,0.0
0.027517198,0.10211028
0.0,0.0
0.06378987,0.0966644
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.011572498
0.0,0.0
0.0,0.0
0.0,0.0483322
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.005628518,0.0
0.018761726,0.15452689
0.0,0.0
0.0,0.0
0.0018761726,0.0
0.05691057,0.08985705
0.0043777362,0.0047651464
0.0,0.0
0.17573483,0.042886317
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0012507817,0.021102792
0.005003127,0.030633084
0.09505941,0.047651462
0.0,0.0
0.0,0.0
0.020012507,0.0
0.0,0.0
0.0,0.0
0.023139462,0.0027229409
0.005003127,0.0074880873
0.36898062,0.23281144
0.0,0.0
0.4509068,0.35330155
0.0018761726,0.0
0.0,0.0
0.29706067,0.11912866
0.039399624,0.0966644
0.008130081,0.0020422055
0.0031269544,0.015656909
0.029393371,0.0027229409
0.0,0.0006807352
0.0,0.0
0.0,0.0
0.0037523452,0.0714772
0.0037523452,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.011257036,0.0013614704
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.004084411
0.0,0.0
0.018761726,0.0
0.0012507817,0.012253233
0.0,0.0
0.0,0.0
0.41963726,0.25187203
0.0,0.003403676
0.041275796,0.0088495575
0.0,0.0
0.0,0.0
0.0025015634,0.0006807352
0.011257036,0.07828455
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0061266166
0.0,0.0
0.017510945,0.06126617
0.013133208,0.1449966
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.011882426,0.14635807
0.03564728,0.06398911
0.0,0.0
0.09193246,0.025187202
0.0,0.0020422055
0.010006254,0.0006807352
0.0,0.0
0.00062539085,0.0006807352
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0087554725,0.0
0.0,0.0
0.0,0.0
0.07191995,0.17154527
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0012507817,0.05650102
0.025015635,0.50987065
0.0,0.0
0.0,0.0
0.00062539085,0.0013614704
0.022514071,0.008168822
0.0,0.0
0.0025015634,0.0047651464
0.0012507817,0.0
0.0031269544,0.075561605
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.051907443,0.12933968
0.023139462,0.0006807352
0.0,0.0
0.0012507817,0.0027229409
0.111944966,0.14091219
0.0,0.0
0.0,0.0047651464
0.01438399,0.047651462
0.0,0.0
0.017510945,0.0027229409
0.0,0.0
0.00062539085,0.0
0.0,0.0027229409
0.47717324,0.2688904
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.020637898,0.0367597
0.06316448,0.011572498
0.0,0.0
0.0,0.0
0.0012507817,0.0006807352
0.0,0.0
0.0075046904,0.013614704
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0012507817,0.038801905
0.0,0.0
0.0,0.0
0.14321451,0.06330837
0.0,0.0
