,Cluster,driver_type,driver
0,0,Driver 1,55
1,1,Driver 1,1
2,2,Driver 1,63
3,3,Driver 1,4
4,4,Driver 1,40
5,5,Driver 1,31
6,6,Driver 1,77
7,7,Driver 1,81
8,8,Driver 1,24
9,0,Driver 2,44
10,1,Driver 2,14
11,2,Driver 2,23
12,3,Driver 2,16
13,4,Driver 2,27
14,5,Driver 2,10
15,6,Driver 2,18
16,7,Driver 2,11
17,8,Driver 2,20
