driver-pairs,distance
"(1, '40', '4')",47.85031961380558
"(1, '40', '20')",46.721592428071276
"(1, '40', '11')",44.74507024057033
"(1, '40', '14')",46.499733158318676
"(1, '40', '81')",58.090857605385516
"(1, '40', '24')",46.6825650298841
"(1, '40', '77')",53.68909618842135
"(1, '40', '27')",48.74729190339669
"(1, '40', '55')",45.151660958127565
"(1, '40', '23')",49.425725684796184
"(1, '40', '1')",44.95833953225227
"(1, '40', '18')",53.63724906658402
"(1, '40', '63')",59.477103056337675
"(1, '40', '2')",53.697036354400375
"(1, '40', '31')",51.09461009189475
"(1, '40', '44')",48.29998972046825
"(1, '40', '16')",46.969508453895074
"(1, '40', '10')",46.1291788053289
"(1, '4', '40')",43.96287049011718
"(1, '4', '20')",48.5613675787013
"(1, '4', '11')",47.75627008565178
"(1, '4', '14')",42.54405145878745
"(1, '4', '81')",55.115164684911456
"(1, '4', '24')",49.197983491289584
"(1, '4', '77')",41.10169838520616
"(1, '4', '27')",44.55786789402066
"(1, '4', '55')",42.778795350694104
"(1, '4', '23')",46.10168672159453
"(1, '4', '1')",53.353853161941345
"(1, '4', '18')",44.73934857817033
"(1, '4', '63')",45.742581768091014
"(1, '4', '2')",57.43951355122055
"(1, '4', '31')",44.59914729741712
"(1, '4', '44')",52.47190648205212
"(1, '4', '16')",47.36607229534022
"(1, '4', '10')",45.47592218377837
"(1, '20', '40')",45.25158590109525
"(1, '20', '4')",41.983117810218985
"(1, '20', '11')",40.37459065099288
"(1, '20', '14')",45.28253219480798
"(1, '20', '81')",49.52008232697235
"(1, '20', '24')",40.62325839114768
"(1, '20', '77')",43.74130029758141
"(1, '20', '27')",38.031648163927194
"(1, '20', '55')",44.096689491654445
"(1, '20', '23')",44.71190698844339
"(1, '20', '1')",44.16963523393688
"(1, '20', '18')",44.88410767049938
"(1, '20', '63')",42.69255657732586
"(1, '20', '2')",45.70686390435089
"(1, '20', '31')",38.99065784097466
"(1, '20', '44')",43.1212022157075
"(1, '20', '16')",41.24071083095144
"(1, '20', '10')",38.02213192607898
"(1, '11', '40')",53.587151318839105
"(1, '11', '4')",49.09989079505607
"(1, '11', '20')",46.61415668446649
"(1, '11', '14')",51.54185142935829
"(1, '11', '81')",59.16167430739318
"(1, '11', '24')",46.15771830564248
"(1, '11', '77')",50.644202722882405
"(1, '11', '27')",42.5711281139799
"(1, '11', '55')",46.876612514335356
"(1, '11', '23')",50.93940686629426
"(1, '11', '1')",44.39575203630703
"(1, '11', '18')",50.806933778441625
"(1, '11', '63')",49.4650160706598
"(1, '11', '2')",54.39329709418295
"(1, '11', '31')",46.82876023272519
"(1, '11', '44')",48.09964702826876
"(1, '11', '16')",39.69490503062142
"(1, '11', '10')",51.00227357837425
"(1, '14', '40')",53.993271297702606
"(1, '14', '4')",52.22203408060022
"(1, '14', '20')",48.024092306418815
"(1, '14', '11')",51.310537771892605
"(1, '14', '81')",55.2458857714055
"(1, '14', '24')",45.62851782005238
"(1, '14', '77')",58.94671651064857
"(1, '14', '27')",51.4972534397035
"(1, '14', '55')",49.84334147676864
"(1, '14', '23')",53.4739213595193
"(1, '14', '1')",53.036419252529136
"(1, '14', '18')",53.94865587560818
"(1, '14', '63')",57.687439135967125
"(1, '14', '2')",52.00469113597711
"(1, '14', '31')",51.164196060830825
"(1, '14', '44')",53.22060884740107
"(1, '14', '16')",48.52333190632136
"(1, '14', '10')",52.28045737332361
"(1, '81', '40')",58.01481334981022
"(1, '81', '4')",50.172595565041235
"(1, '81', '20')",45.89946395389059
"(1, '81', '11')",43.35963623638051
"(1, '81', '14')",50.163503516026665
"(1, '81', '24')",45.147271881122045
"(1, '81', '77')",51.09616297051815
"(1, '81', '27')",49.68222299514841
"(1, '81', '55')",50.019769040127066
"(1, '81', '23')",50.927694655676056
"(1, '81', '1')",48.307111439063455
"(1, '81', '18')",55.61573316897023
"(1, '81', '63')",51.04178510030434
"(1, '81', '2')",52.19119423595588
"(1, '81', '31')",52.86802511193113
"(1, '81', '44')",53.588577481443984
"(1, '81', '16')",45.27939793172718
"(1, '81', '10')",50.55775785290176
"(1, '24', '40')",55.95855850109494
"(1, '24', '4')",43.84903128051948
"(1, '24', '20')",43.11710618189
"(1, '24', '11')",44.40477501056077
"(1, '24', '14')",40.87441177281077
"(1, '24', '81')",49.81366791204026
"(1, '24', '77')",53.80692574645184
"(1, '24', '27')",49.067366196737524
"(1, '24', '55')",45.21779506742685
"(1, '24', '23')",40.606415567390336
"(1, '24', '1')",42.84327137740481
"(1, '24', '18')",50.83310889834839
"(1, '24', '63')",61.10632402409274
"(1, '24', '2')",52.493001559420904
"(1, '24', '31')",47.52362843285615
"(1, '24', '44')",50.42525177295722
