,Cluster,driver_type,driver
0,0,Driver 1,11
1,1,Driver 1,14
2,2,Driver 1,10
3,3,Driver 1,55
4,4,Driver 1,63
5,5,Driver 1,24
6,6,Driver 1,31
7,7,Driver 1,77
8,8,Driver 1,81
9,9,Driver 1,20
10,0,Driver 2,23
11,1,Driver 2,44
12,2,Driver 2,16
13,3,Driver 2,4
14,4,Driver 2,18
15,5,Driver 2,22
16,6,Driver 2,27
17,7,Driver 2,2
18,8,Driver 2,1
19,9,Driver 2,21
