ORIGIN,DEST,PAYLOAD,DISTANCE,SEATS,PASSENGERS,DEPARTURES_PERFORMED,CARRIER_NAME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,ORIGIN_NAME,DEST_NAME
FAI,OTZ,59462.0,441.0,85.0,40.0,9.0,"['Frontier Flying Service' 'Warbelow'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Hageland Aviation Service' 'Era Aviation' 'Wright Air Service'
 'Bering Air Inc.']",11630,13970,"Fairbanks, AK: Fairbanks International","Kotzebue, AK: Ralph Wien Memorial"
GAL,OTZ,45450.0,219.0,152.0,46.0,14.0,"['Hageland Aviation Service' 'Era Aviation' 'Frontier Flying Service'
 'Bering Air Inc.']",11844,13970,"Galena, AK: Edward G. Pitka Sr.","Kotzebue, AK: Ralph Wien Memorial"
GAM,OTZ,5600.0,341.0,0.0,0.0,1.0,['Arctic Transportation'],11845,13970,"Gambell, AK: Gambell Airport","Kotzebue, AK: Ralph Wien Memorial"
HCR,OTZ,5000.0,336.0,19.0,12.0,1.0,['Bering Air Inc.'],12087,13970,"Holy Cross, AK: Holy Cross Airport","Kotzebue, AK: Ralph Wien Memorial"
HSL,OTZ,25500.0,193.0,92.0,0.0,10.0,['Hageland Aviation Service'],12214,13970,"Huslia, AK: Huslia Airport","Kotzebue, AK: Ralph Wien Memorial"
IAN,OTZ,2549589.0,59.0,7252.0,3014.0,896.0,['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'],12268,13970,"Kiana, AK: Bob Baker Memorial","Kotzebue, AK: Ralph Wien Memorial"
KAL,OTZ,2200.0,209.0,8.0,0.0,1.0,['Hageland Aviation Service'],12615,13970,"Kaltag, AK: Kaltag Airport","Kotzebue, AK: Ralph Wien Memorial"
KKA,OTZ,107800.0,141.0,112.0,0.0,30.0,['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'],12704,13970,"Koyuk, AK: Koyuk Alfred Adams","Kotzebue, AK: Ralph Wien Memorial"
KTS,OTZ,19000.0,153.0,8.0,0.0,4.0,['Arctic Transportation' 'Hageland Aviation Service'],12822,13970,"Brevig Mission, AK: Brevig Mission Airport","Kotzebue, AK: Ralph Wien Memorial"
KVL,OTZ,2322725.0,79.0,6410.0,2425.0,797.0,"['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'
 'Era Aviation']",12844,13970,"Kivalina, AK: Kivalina Airport","Kotzebue, AK: Ralph Wien Memorial"
KYU,OTZ,4400.0,196.0,16.0,0.0,2.0,['Hageland Aviation Service'],12868,13970,"Koyukuk, AK: Koyukuk Airport","Kotzebue, AK: Ralph Wien Memorial"
LUR,OTZ,137400.0,166.0,411.0,85.0,48.0,['Bering Air Inc.'],13111,13970,"Cape Lisburne, AK: Cape Lisburne LRRS","Kotzebue, AK: Ralph Wien Memorial"
NUI,OTZ,5600.0,373.0,0.0,0.0,1.0,['Arctic Transportation'],13767,13970,"Nuiqsut, AK: Nuiqsut Airport","Kotzebue, AK: Ralph Wien Memorial"
NUL,OTZ,26900.0,197.0,77.0,0.0,9.0,['Hageland Aviation Service'],13768,13970,"Nulato, AK: Nulato Airport","Kotzebue, AK: Ralph Wien Memorial"
OBU,OTZ,1325925.0,155.0,3027.0,1052.0,406.0,['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'],13806,13970,"Kobuk, AK: Kobuk Airport","Kotzebue, AK: Ralph Wien Memorial"
OME,OTZ,16111125.0,183.0,24033.0,11468.0,740.0,"['Hageland Aviation Service' 'Alaska Airlines Inc.'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Bering Air Inc.' 'Northern Air Cargo Inc.' 'Arctic Transportation'
 'Era Aviation' 'Lynden Air Cargo Airlines']",13873,13970,"Nome, AK: Nome Airport","Kotzebue, AK: Ralph Wien Memorial"
ORV,OTZ,2977300.0,43.0,7983.0,3370.0,1020.0,['Arctic Transportation' 'Hageland Aviation Service' 'Bering Air Inc.'],13942,13970,"Noorvik, AK: Robert/Bob/Curtis Memorial","Kotzebue, AK: Ralph Wien Memorial"
