ORIGIN,DEST,PAYLOAD,DISTANCE,SEATS,PASSENGERS,DEPARTURES_PERFORMED,CARRIER_NAME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,ORIGIN_NAME,DEST_NAME
ANC,FAI,100135967.0,261.0,352154.0,211339.0,4542.0,"['Frontier Flying Service' 'Era Aviation' 'Alaska Central Express'
 'Alaska Airlines Inc.' 'United Air Lines Inc.' 'Peninsula Airways Inc.'
 'Hageland Aviation Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Empire Airlines Inc.' 'Federal Express Corporation']",10299,11630,"Anchorage, AK: Ted Stevens Anchorage International","Fairbanks, AK: Fairbanks International"
ANI,FAI,19000.0,428.0,27.0,0.0,4.0,['Hageland Aviation Service'],10304,11630,"Aniak, AK: Aniak Airport","Fairbanks, AK: Fairbanks International"
ANV,FAI,11110.0,406.0,44.0,14.0,5.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service']",10313,11630,"Anvik, AK: Anvik Airport","Fairbanks, AK: Fairbanks International"
ARC,FAI,966243.0,237.0,1930.0,632.0,279.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Warbelow' 'Frontier Flying Service'
 'Hageland Aviation Service' 'Lynden Air Cargo Airlines']",10349,11630,"Arctic Village, AK: Arctic Village Airport","Fairbanks, AK: Fairbanks International"
ATK,FAI,64050.0,465.0,34.0,1.0,6.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Hageland Aviation Service']",10396,11630,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial","Fairbanks, AK: Fairbanks International"
BET,FAI,105403.0,522.0,43.0,25.0,6.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Era Aviation']",10551,11630,"Bethel, AK: Bethel Airport","Fairbanks, AK: Fairbanks International"
BRW,FAI,12168764.0,503.0,40374.0,22539.0,418.0,"['Hageland Aviation Service' 'Alaska Airlines Inc.'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Frontier Flying Service' 'Warbelow' 'Northern Air Cargo Inc.'
 'Lynden Air Cargo Airlines']",10754,11630,"Barrow, AK: Wiley Post/Will Rogers Memorial","Fairbanks, AK: Fairbanks International"
BTI,FAI,546301.0,385.0,1284.0,557.0,126.0,"['Hageland Aviation Service' 'Alaska Central Express'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Frontier Flying Service' 'Era Aviation' 'Wright Air Service' 'Warbelow']",10775,11630,"Barter Island, AK: Barter Island LRRS","Fairbanks, AK: Fairbanks International"
BTT,FAI,1061799.0,179.0,4109.0,2102.0,473.0,"['Warbelow' 'Wright Air Service' 'Hageland Aviation Service'
 'Frontier Flying Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo']",10783,11630,"Bettles, AK: Bettles Airport","Fairbanks, AK: Fairbanks International"
BUR,FAI,2000.0,2449.0,8.0,2.0,1.0,['Avjet Corporation'],10800,11630,"Burbank, CA: Bob Hope","Fairbanks, AK: Fairbanks International"
CDL,FAI,4740.0,413.0,18.0,3.0,2.0,['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'],10923,11630,"Candle, AK: Candle 2","Fairbanks, AK: Fairbanks International"
CDV,FAI,2370.0,309.0,9.0,0.0,1.0,['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'],10926,11630,"Cordova, AK: Merle K Mudhole Smith","Fairbanks, AK: Fairbanks International"
CEM,FAI,219596.0,104.0,1015.0,121.0,115.0,['Warbelow' 'Wright Air Service'],10938,11630,"Central, AK: Central Airport","Fairbanks, AK: Fairbanks International"
CIK,FAI,264054.0,173.0,760.0,126.0,100.0,"['Warbelow' 'Wright Air Service' 'Frontier Flying Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo']",11007,11630,"Chalkyitsik, AK: Chalkyitsik Airport","Fairbanks, AK: Fairbanks International"
CKU,FAI,2370.0,303.0,9.0,4.0,1.0,['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'],11034,11630,"Cordova, AK: Cordova Municipal","Fairbanks, AK: Fairbanks International"
CKX,FAI,3200.0,184.0,12.0,9.0,2.0,['Wright Air Service'],11036,11630,"Chicken, AK: Chicken Airport","Fairbanks, AK: Fairbanks International"
CXF,FAI,2285425.0,181.0,8701.0,5488.0,970.0,"['Warbelow' 'Wright Air Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo']",11214,11630,"Coldfoot, AK: Coldfoot Airport","Fairbanks, AK: Fairbanks International"
CZN,FAI,900.0,262.0,4.0,2.0,1.0,['Wright Air Service'],11245,11630,"Chisana, AK: Chisana Airport","Fairbanks, AK: Fairbanks International"
DCK,FAI,316040.0,295.0,473.0,112.0,63.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Warbelow']",11280,11630,"Dahl Creek, AK: Dahl Creek Airport","Fairbanks, AK: Fairbanks International"
DEN,FAI,5519823.0,2430.0,28498.0,21727.0,191.0,['United Air Lines Inc.' 'Frontier Airlines Inc.'],11292,11630,"Denver, CO: Denver International","Fairbanks, AK: Fairbanks International"
EAA,FAI,374015.0,198.0,1401.0,490.0,237.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Warbelow' 'Wright Air Service' 'Hageland Aviation Service']",11463,11630,"Eagle, AK: Eagle Airport","Fairbanks, AK: Fairbanks International"
EMK,FAI,270750.0,527.0,3.0,1.0,11.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service']",11550,11630,"Emmonak, AK: Emmonak Airport","Fairbanks, AK: Fairbanks International"
ENN,FAI,17100.0,41.0,71.0,5.0,9.0,['Wright Air Service' 'Hageland Aviation Service'],11559,11630,"Nenana, AK: Nenana Municipal","Fairbanks, AK: Fairbanks International"
FBK,FAI,66109.0,7.0,234.0,3.0,22.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Warbelow' 'Era Aviation'
 'Hageland Aviation Service' 'Frontier Flying Service']",11643,11630,"Fairbanks, AK: Ladd AAF","Fairbanks, AK: Fairbanks International"
FWL,FAI,12000.0,245.0,0.0,0.0,1.0,['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'],11825,11630,"Farewell, AK: Farewell Airport","Fairbanks, AK: Fairbanks International"
FYU,FAI,4404659.0,143.0,16830.0,7549.0,1924.0,"['Warbelow' 'Era Aviation' 'Hageland Aviation Service'
 'Wright Air Service' 'Frontier Flying Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo']",11833,11630,"Fort Yukon, AK: Fort Yukon Airport","Fairbanks, AK: Fairbanks International"
GAL,FAI,4194821.0,268.0,15097.0,8277.0,1064.0,"['Era Aviation' 'Hageland Aviation Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service' 'Frontier Flying Service' 'Warbelow'
 'Lynden Air Cargo Airlines']",11844,11630,"Galena, AK: Edward G. Pitka Sr.","Fairbanks, AK: Fairbanks International"
GBH,FAI,190720.0,258.0,905.0,566.0,26.0,['Era Aviation' 'Wright Air Service'],11859,11630,"Galbraith Lake, AK: Galbraith Lake Airport","Fairbanks, AK: Fairbanks International"
GEK,FAI,39000.0,293.0,0.0,0.0,2.0,['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'],11885,11630,"Ganes Creek, AK: Ganes Creek Airport","Fairbanks, AK: Fairbanks International"
HCR,FAI,1250.0,410.0,6.0,5.0,1.0,['Wright Air Service'],12087,11630,"Holy Cross, AK: Holy Cross Airport","Fairbanks, AK: Fairbanks International"
HGZ,FAI,29400.0,244.0,9.0,4.0,2.0,"['Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Wright Air Service']",12122,11630,"Hogatza, AK: Hogatza Airport","Fairbanks, AK: Fairbanks International"
HKB,FAI,7400.0,74.0,27.0,14.0,7.0,['40-Mile Air' 'Wright Air Service'],12141,11630,"Healy, AK: Healy River","Fairbanks, AK: Fairbanks International"
HSL,FAI,850866.0,254.0,2651.0,1263.0,306.0,"['Warbelow' 'Hageland Aviation Service' 'Wright Air Service'
 'Frontier Flying Service' 'Era Aviation'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo']",12214,11630,"Huslia, AK: Huslia Airport","Fairbanks, AK: Fairbanks International"
HUS,FAI,634870.0,203.0,1783.0,907.0,226.0,"['Wright Air Service'
 'Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo'
 'Warbelow' 'Frontier Flying Service' 'Lynden Air Cargo Airlines']",12235,11630,"Hughes, AK: Hughes Airport","Fairbanks, AK: Fairbanks International"
