driver-pairs,distance
"(1, '20', '11')",43.11435216468338
"(1, '20', '14')",34.938496698978085
"(1, '20', '81')",45.901957508848
"(1, '20', '24')",44.03358438118593
"(1, '20', '21')",40.14214547407321
"(1, '20', '77')",39.44073930676981
"(1, '20', '27')",41.319256559443964
"(1, '20', '16')",35.02868239360341
"(1, '20', '55')",32.43268442182117
"(1, '20', '23')",40.91203788505671
"(1, '20', '1')",44.74066104082927
"(1, '20', '18')",44.69494328322672
"(1, '20', '63')",41.200656585673215
"(1, '20', '2')",36.427691499233475
"(1, '20', '31')",44.33534795942466
"(1, '20', '22')",42.512135938779174
"(1, '20', '44')",38.5275146124984
"(1, '20', '4')",34.24461091414156
"(1, '20', '10')",47.72809412092042
"(1, '11', '20')",27.765586631947507
"(1, '11', '14')",33.958230130658684
"(1, '11', '81')",50.03014880420742
"(1, '11', '24')",28.11164280404632
"(1, '11', '21')",45.93475307053131
"(1, '11', '77')",43.30685076681248
"(1, '11', '27')",44.64703449092173
"(1, '11', '16')",34.21709571942771
"(1, '11', '55')",31.00964462547138
"(1, '11', '23')",41.50088309589469
"(1, '11', '1')",49.096236656941905
"(1, '11', '18')",55.27317921808866
"(1, '11', '63')",44.53716815836885
"(1, '11', '2')",35.4990607670851
"(1, '11', '31')",48.243153557156404
"(1, '11', '22')",45.354683369421075
"(1, '11', '44')",36.709188698556936
"(1, '11', '4')",33.504230798416046
"(1, '11', '10')",32.11360347876775
"(1, '14', '20')",39.33620501761106
"(1, '14', '11')",39.3716496191433
"(1, '14', '81')",37.860144565215684
"(1, '14', '24')",40.16334358498211
"(1, '14', '21')",38.49994372820826
"(1, '14', '77')",35.71728618245329
"(1, '14', '27')",37.631511770626545
"(1, '14', '16')",27.162796006227754
"(1, '14', '55')",41.61107712840264
"(1, '14', '23')",30.884731679756936
"(1, '14', '1')",41.030452643588745
"(1, '14', '18')",35.00150835128782
"(1, '14', '63')",37.502084271421566
"(1, '14', '2')",29.368232281209682
"(1, '14', '31')",40.610774501482574
"(1, '14', '22')",38.78136847842603
"(1, '14', '44')",30.34820006289529
"(1, '14', '4')",26.810054409438095
"(1, '14', '10')",43.98054409053053
"(1, '81', '20')",51.66469643078843
"(1, '81', '11')",57.12269479867152
"(1, '81', '14')",49.73841814093701
"(1, '81', '24')",58.6698499382336
"(1, '81', '21')",51.24334515479328
"(1, '81', '77')",60.759748760699466
"(1, '81', '27')",64.54826851385711
"(1, '81', '16')",49.56938100215691
"(1, '81', '55')",48.087124105814105
"(1, '81', '23')",62.229794055835384
"(1, '81', '1')",60.43143882223111
"(1, '81', '18')",51.02913361525471
"(1, '81', '63')",64.3061311582637
"(1, '81', '2')",54.465849970358654
"(1, '81', '31')",59.60069082880164
"(1, '81', '22')",66.88733807429765
"(1, '81', '44')",57.35372791249633
"(1, '81', '4')",48.62401756922326
"(1, '81', '10')",66.32773293671102
"(1, '24', '20')",28.363061209773214
"(1, '24', '11')",29.165367990895778
"(1, '24', '14')",35.70205506907637
"(1, '24', '81')",45.77139525451755
"(1, '24', '21')",27.77508014945974
"(1, '24', '77')",37.408775016906034
"(1, '24', '27')",27.024020903914014
"(1, '24', '16')",35.84772990624678
"(1, '24', '55')",33.07940163691265
"(1, '24', '23')",43.61388441233246
"(1, '24', '1')",31.121699277294162
"(1, '24', '18')",42.53131378254809
"(1, '24', '63')",26.878496277170562
"(1, '24', '2')",37.91434639920035
"(1, '24', '31')",30.630207348514222
"(1, '24', '22')",28.447031435836454
"(1, '24', '44')",40.37764679076748
"(1, '24', '4')",35.09430542773874
"(1, '24', '10')",34.66129221867735
"(1, '21', '20')",34.16359209615892
"(1, '21', '11')",35.47496477453548
"(1, '21', '14')",42.46392658271913
"(1, '21', '81')",46.33331774786777
"(1, '21', '24')",37.221682068487844
"(1, '21', '77')",45.29070168971582
"(1, '21', '27')",33.68619609632833
"(1, '21', '16')",42.49343180305017
"(1, '21', '55')",40.166537870800546
"(1, '21', '23')",50.88719762568859
"(1, '21', '1')",37.101355810384234
"(1, '21', '18')",48.514566746629505
"(1, '21', '63')",33.56502625762759
